model,step,MAE,RMSE,N
linear,1,3.0810593086708837,3.0810593086708837,1155
linear,2,4.091012618631279,4.091012618631279,1150
linear,3,4.667899659066131,4.667899659066131,1137
naive,1,1.5350649350649352,1.5350649350649352,1155
naive,2,2.525391304347826,2.525391304347826,1150
naive,3,3.0606860158311346,3.0606860158311346,1137
prophet,1,3.324557386331163,3.324557386331163,1148
prophet,2,4.876021979925432,4.876021979925432,1136
linear,overall,3.942675748198441,3.942675748198441,3442
naive,overall,2.3699012202208016,2.3699012202208016,3442
prophet,overall,4.096214031831639,4.096214031831639,2284
