university,model,origin_last_year,year,forecast
AGH University of Krakow,linear,2025,2026,30.789999999999964
AGH University of Krakow,linear,2025,2027,32.635454545454195
AGH University of Krakow,linear,2025,2028,34.48090909090888
Aalborg University,naive,2025,2026,54.7
Aalborg University,naive,2025,2027,54.7
Aalborg University,naive,2025,2028,54.7
Aalto University,linear,2025,2026,67.81999999999971
Aalto University,linear,2025,2027,71.35454545454559
Aalto University,linear,2025,2028,74.88909090909056
Aarhus University,linear,2025,2026,66.97523809523818
Aarhus University,linear,2025,2027,68.12130952380949
Aarhus University,linear,2025,2028,69.26738095238125
Aberystwyth University,naive,2025,2026,40.7
Aberystwyth University,naive,2025,2027,40.7
Aberystwyth University,naive,2025,2028,40.7
"Adam Mickiewicz University, Poznań",linear,2025,2026,36.34666666666635
"Adam Mickiewicz University, Poznań",linear,2025,2027,39.10060606060597
"Adam Mickiewicz University, Poznań",linear,2025,2028,41.85454545454559
Ain Shams University,linear,2025,2026,34.10555555555493
Ain Shams University,linear,2025,2027,36.39555555555489
Ain Shams University,linear,2025,2028,38.685555555554856
Aix-Marseille University,naive,2025,2026,47.6
Aix-Marseille University,naive,2025,2027,47.6
Aix-Marseille University,naive,2025,2028,47.6
Ajou University,linear,2025,2026,50.92999999999847
Ajou University,linear,2025,2027,55.05909090908972
Ajou University,linear,2025,2028,59.188181818180965
Alexandria University,linear,2025,2026,23.863259668508285
Alexandria University,linear,2025,2027,23.842486187845303
Alexandria University,linear,2025,2028,23.821712707182314
Alexandru Ioan Cuza University,naive,2025,2026,17.8
Alexandru Ioan Cuza University,naive,2025,2027,17.8
Alexandru Ioan Cuza University,naive,2025,2028,17.8
Alfaisal University,linear,2025,2026,51.897222222222354
Alfaisal University,linear,2025,2027,53.76555555555569
Alfaisal University,linear,2025,2028,55.63388888888903
Aligarh Muslim University,linear,2025,2026,44.36666666666679
Aligarh Muslim University,linear,2025,2027,47.599696969697106
Aligarh Muslim University,linear,2025,2028,50.832727272727425
American University,naive,2025,2026,40.7
American University,naive,2025,2027,40.7
American University,naive,2025,2028,40.7
American University in Cairo,linear,2025,2026,38.625
American University in Cairo,linear,2025,2027,40.38333333333321
American University in Cairo,linear,2025,2028,42.14166666666688
American University of Beirut,naive,2025,2026,44.599999999999994
American University of Beirut,naive,2025,2027,44.599999999999994
American University of Beirut,naive,2025,2028,44.599999999999994
American University of Sharjah,linear,2025,2026,45.63333333333412
American University of Sharjah,linear,2025,2027,49.010303030303476
American University of Sharjah,linear,2025,2028,52.38727272727283
Amirkabir University of Technology,linear,2025,2026,57.14333333333343
Amirkabir University of Technology,linear,2025,2027,61.429393939393776
Amirkabir University of Technology,linear,2025,2028,65.71545454545412
"Amity University, Noida",linear,2025,2026,38.2944444444438
"Amity University, Noida",linear,2025,2027,41.661111111110586
"Amity University, Noida",linear,2025,2028,45.027777777777374
Anadolu University,linear,2025,2026,31.340000000000146
Anadolu University,linear,2025,2027,33.80000000000018
Anadolu University,linear,2025,2028,36.26000000000022
Andhra University,naive,2024,2025,16.2
Andhra University,naive,2024,2026,16.2
Andhra University,naive,2024,2027,16.2
Anglia Ruskin University (ARU),naive,2025,2026,44.599999999999994
Anglia Ruskin University (ARU),naive,2025,2027,44.599999999999994
Anglia Ruskin University (ARU),naive,2025,2028,44.599999999999994
Ankara University,naive,2025,2026,17.8
Ankara University,naive,2025,2027,17.8
Ankara University,naive,2025,2028,17.8
Aristotle University of Thessaloniki,naive,2025,2026,36.3
Aristotle University of Thessaloniki,naive,2025,2027,36.3
Aristotle University of Thessaloniki,naive,2025,2028,36.3
Arizona State University (Tempe),naive,2025,2026,57.2
Arizona State University (Tempe),naive,2025,2027,57.2
Arizona State University (Tempe),naive,2025,2028,57.2
"Asia University, Taiwan",linear,2025,2026,55.970000000001164
"Asia University, Taiwan",linear,2025,2027,60.74636363636455
"Asia University, Taiwan",linear,2025,2028,65.52272727272793
Aston University,linear,2025,2026,55.96666666666715
Aston University,linear,2025,2027,59.141515151515705
Aston University,linear,2025,2028,62.31636363636335
Athens University of Economics and Business,linear,2025,2026,38.94333333333316
Athens University of Economics and Business,linear,2025,2027,40.937575757575814
Athens University of Economics and Business,linear,2025,2028,42.93181818181802
Atılım University,naive,2025,2026,17.8
Atılım University,naive,2025,2027,17.8
Atılım University,naive,2025,2028,17.8
Auburn University,linear,2025,2026,49.303333333333285
Auburn University,linear,2025,2027,52.819393939394104
Auburn University,linear,2025,2028,56.33545454545492
Auckland University of Technology,naive,2025,2026,47.6
Auckland University of Technology,naive,2025,2027,47.6
Auckland University of Technology,naive,2025,2028,47.6
Austral University of Chile,linear,2025,2026,23.74333333333334
Austral University of Chile,linear,2025,2027,24.803030303030482
Austral University of Chile,linear,2025,2028,25.862727272727625
Australian Catholic University,naive,2025,2026,47.6
Australian Catholic University,naive,2025,2027,47.6
Australian Catholic University,naive,2025,2028,47.6
Australian National University,naive,2025,2026,70.7
Australian National University,naive,2025,2027,70.7
Australian National University,naive,2025,2028,70.7
Autonomous University of Madrid,naive,2025,2026,50.2
Autonomous University of Madrid,naive,2025,2027,50.2
Autonomous University of Madrid,naive,2025,2028,50.2
Babeş-Bolyai University,linear,2025,2026,32.696666666666715
Babeş-Bolyai University,linear,2025,2027,34.558787878787825
Babeş-Bolyai University,linear,2025,2028,36.420909090908935
Bahauddin Zakariya University,linear,2025,2026,33.10138888888923
Bahauddin Zakariya University,linear,2025,2027,35.7072222222223
Bahauddin Zakariya University,linear,2025,2028,38.313055555555366
Bangor University,linear,2025,2026,54.60333333333347
Bangor University,linear,2025,2027,57.4757575757576
Bangor University,linear,2025,2028,60.34818181818264
Bar-Ilan University,linear,2025,2026,47.933333333333394
Bar-Ilan University,linear,2025,2027,50.41666666666697
Bar-Ilan University,linear,2025,2028,52.899999999999636
Bauman Moscow State Technical University,linear,2025,2026,55.48999999999978
Bauman Moscow State Technical University,linear,2025,2027,60.152727272727134
Bauman Moscow State Technical University,linear,2025,2028,64.81545454545449
Beijing Institute of Technology,linear,2025,2026,61.23999999999796
Beijing Institute of Technology,linear,2025,2027,66.26818181818089
Beijing Institute of Technology,linear,2025,2028,71.296363636362
Belarusian State University,naive,2025,2026,17.8
Belarusian State University,naive,2025,2027,17.8
Belarusian State University,naive,2025,2028,17.8
Benemérita Universidad Autónoma de Puebla,naive,2025,2026,17.8
Benemérita Universidad Autónoma de Puebla,naive,2025,2027,17.8
Benemérita Universidad Autónoma de Puebla,naive,2025,2028,17.8
Bielefeld University,linear,2023,2024,56.48242677824237
Bielefeld University,linear,2023,2025,58.400627615062604
Bielefeld University,linear,2023,2026,60.31882845188238
Bilkent University,naive,2025,2026,40.7
Bilkent University,naive,2025,2027,40.7
Bilkent University,naive,2025,2028,40.7
"Birkbeck, University of London",linear,2025,2026,47.35546540110215
"Birkbeck, University of London",linear,2025,2027,47.87939375382723
"Birkbeck, University of London",linear,2025,2028,48.40332210655231
"Birla Institute of Technology and Science, Pilani",linear,2025,2026,41.423333333333176
"Birla Institute of Technology and Science, Pilani",linear,2025,2027,44.68303030303014
"Birla Institute of Technology and Science, Pilani",linear,2025,2028,47.9427272727271
Bond University,linear,2025,2026,51.922222222222445
Bond University,linear,2025,2027,54.28555555555613
Bond University,linear,2025,2028,56.648888888889815
Boston College,linear,2025,2026,50.77571428571423
Boston College,linear,2025,2027,51.00267857142853
Boston College,linear,2025,2028,51.229642857142835
Boston University,naive,2025,2026,70.6
Boston University,naive,2025,2027,70.6
Boston University,naive,2025,2028,70.6
Bournemouth University,linear,2025,2026,60.5633333333335
Bournemouth University,linear,2025,2027,65.09484848484863
Bournemouth University,linear,2025,2028,69.62636363636375
Boğaziçi University,linear,2025,2026,34.92045454545453
Boğaziçi University,linear,2025,2027,35.04090909090908
Boğaziçi University,linear,2025,2028,35.16136363636363
Brandeis University,naive,2025,2026,47.6
Brandeis University,naive,2025,2027,47.6
Brandeis University,naive,2025,2028,47.6
Brno University of Technology,linear,2025,2026,31.293333333333976
Brno University of Technology,linear,2025,2027,33.36757575757656
Brno University of Technology,linear,2025,2028,35.441818181819144
Brown University,naive,2025,2026,73.8
Brown University,naive,2025,2027,73.8
Brown University,naive,2025,2028,73.8
Brunel University of London,linear,2025,2026,57.863333333333685
Brunel University of London,linear,2025,2027,61.12484848484837
Brunel University of London,linear,2025,2028,64.38636363636397
Budapest University of Technology and Economics,linear,2025,2026,27.783333333333303
Budapest University of Technology and Economics,linear,2025,2027,29.39393939393949
Budapest University of Technology and Economics,linear,2025,2028,31.004545454545678
COMSATS University Islamabad,linear,2025,2026,42.415277777777646
COMSATS University Islamabad,linear,2025,2027,44.4527777777771
COMSATS University Islamabad,linear,2025,2028,46.490277777777465
Cairo University,naive,2025,2026,36.3
Cairo University,naive,2025,2027,36.3
Cairo University,naive,2025,2028,36.3
California Institute of Technology,naive,2025,2026,96.3
California Institute of Technology,naive,2025,2027,96.3
California Institute of Technology,naive,2025,2028,96.3
Capital Medical University,linear,2025,2026,47.613333333333685
Capital Medical University,linear,2025,2027,51.17030303030333
Capital Medical University,linear,2025,2028,54.727272727272975
Cardiff University,naive,2025,2026,57.2
Cardiff University,naive,2025,2027,57.2
Cardiff University,naive,2025,2028,57.2
Carleton University,linear,2025,2026,50.469999999999345
Carleton University,linear,2025,2027,53.593636363635596
Carleton University,linear,2025,2028,56.71727272727276
Carlos III University of Madrid,linear,2025,2026,39.793333333333976
Carlos III University of Madrid,linear,2025,2027,42.31393939394002
Carlos III University of Madrid,linear,2025,2028,44.83454545454606
Carnegie Mellon University,linear,2025,2026,84.52571428571423
Carnegie Mellon University,linear,2025,2027,84.97892857142847
Carnegie Mellon University,linear,2025,2028,85.43214285714282
Case Western Reserve University,naive,2025,2026,61.2
Case Western Reserve University,naive,2025,2027,61.2
Case Western Reserve University,naive,2025,2028,61.2
Ca’ Foscari University of Venice,linear,2025,2026,49.47999999999956
Ca’ Foscari University of Venice,linear,2025,2027,52.70727272727254
Ca’ Foscari University of Venice,linear,2025,2028,55.934545454544605
Central Queensland University,linear,2025,2026,46.98000000000047
Central Queensland University,linear,2025,2027,49.76181818181885
Central Queensland University,linear,2025,2028,52.543636363636324
Chalmers University of Technology,linear,2025,2026,66.76000000000022
Chalmers University of Technology,linear,2025,2027,70.48545454545456
Chalmers University of Technology,linear,2025,2028,74.2109090909089
Chang Gung University,linear,2025,2026,43.08666666666704
Chang Gung University,linear,2025,2027,46.042424242424204
Chang Gung University,linear,2025,2028,48.998181818182275
Charité - Universitätsmedizin Berlin,naive,2025,2026,67.1
Charité - Universitätsmedizin Berlin,naive,2025,2027,67.1
Charité - Universitätsmedizin Berlin,naive,2025,2028,67.1
Charles Darwin University,linear,2025,2026,53.55999999999949
Charles Darwin University,linear,2025,2027,56.40545454545463
Charles Darwin University,linear,2025,2028,59.25090909090886
Charles University,linear,2025,2026,54.590000000001055
Charles University,linear,2025,2027,57.80727272727381
Charles University,linear,2025,2028,61.02454545454657
Chiang Mai University,linear,2025,2026,35.923333333333176
Chiang Mai University,linear,2025,2027,38.50575757575734
Chiang Mai University,linear,2025,2028,41.08818181818151
Chiba Institute of Technology,naive,2025,2026,17.8
Chiba Institute of Technology,naive,2025,2027,17.8
Chiba Institute of Technology,naive,2025,2028,17.8
Chiba University,linear,2025,2026,37.33333333333303
Chiba University,linear,2025,2027,39.56212121212138
Chiba University,linear,2025,2028,41.790909090908826
"China Medical University, Taiwan",linear,2025,2026,62.86000000000058
"China Medical University, Taiwan",linear,2025,2027,67.41272727272735
"China Medical University, Taiwan",linear,2025,2028,71.96545454545412
