params_id,step,MAE,RMSE,N
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.621780418601207,3.621780418601207,1152
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,4.490046184224861,4.490046184224861,1140
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.621780418601207,3.621780418601207,1152
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,4.490046184224861,4.490046184224861,1140
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.6252113793575904,3.6252113793575904,1152
changepoint_prior_scale=0.03|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,4.493878878627961,4.493878878627961,1140
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,3.6255301684029653,3.6255301684029653,1152
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,4.501353533181194,4.501353533181194,1140
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,3.6255301684029653,3.6255301684029653,1152
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,4.501353533181194,4.501353533181194,1140
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,3.6306254265981597,3.6306254265981597,1152
changepoint_prior_scale=0.03|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,4.508311818121495,4.508311818121495,1140
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.625585705312596,3.625585705312596,1152
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,4.50158771628677,4.50158771628677,1140
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.625585705312596,3.625585705312596,1152
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,4.50158771628677,4.50158771628677,1140
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,3.6291319911821964,3.6291319911821964,1152
changepoint_prior_scale=0.03|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,4.504540847881372,4.504540847881372,1140
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.6229276546703386,3.6229276546703386,1152
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,4.491805231564449,4.491805231564449,1140
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.6229276546703386,3.6229276546703386,1152
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,4.491805231564449,4.491805231564449,1140
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.6192269146337583,3.6192269146337583,1152
changepoint_prior_scale=0.05|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,4.4829053502725955,4.4829053502725955,1140
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,3.6646519070566463,3.6646519070566463,1152
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,4.5489376004006825,4.5489376004006825,1140
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,3.6646519070566463,3.6646519070566463,1152
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,4.5489376004006825,4.5489376004006825,1140
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,3.6561990172401444,3.6561990172401444,1151
changepoint_prior_scale=0.05|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,4.541151374963112,4.541151374963112,1139
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.658253001863653,3.658253001863653,1152
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,4.546919898225315,4.546919898225315,1140
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.658253001863653,3.658253001863653,1152
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,4.546919898225315,4.546919898225315,1140
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,3.6574510832309484,3.6574510832309484,1151
changepoint_prior_scale=0.05|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,4.536883325760524,4.536883325760524,1139
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.6290255801822036,3.6290255801822036,1152
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,4.64822688079963,4.64822688079963,1140
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.6290255801822036,3.6290255801822036,1152
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,4.64822688079963,4.64822688079963,1140
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.6319124150829842,3.6319124150829842,1152
changepoint_prior_scale=0.1|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,4.646696920909288,4.646696920909288,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,3.742021637620081,3.742021637620081,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,4.821859042437082,4.821859042437082,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,3.742021637620081,3.742021637620081,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,4.821859042437082,4.821859042437082,1140
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,3.717123827373059,3.717123827373059,1152
changepoint_prior_scale=0.1|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,4.784778778982478,4.784778778982478,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.731528228614729,3.731528228614729,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,4.812734170838101,4.812734170838101,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.731528228614729,3.731528228614729,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,4.812734170838101,4.812734170838101,1140
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,3.707497631493431,3.707497631493431,1152
changepoint_prior_scale=0.1|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,2,4.768472677361446,4.768472677361446,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,1,3.609764916953944,3.609764916953944,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=10|seasonality_mode=additive,2,5.100084231274602,5.100084231274602,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,1,3.609764916953944,3.609764916953944,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=20|seasonality_mode=additive,2,5.100084231274602,5.100084231274602,1140
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,1,3.6528162921811593,3.6528162921811593,1152
changepoint_prior_scale=0.3|changepoint_range=0.8|n_changepoints=5|seasonality_mode=additive,2,5.127981763185473,5.127981763185473,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,1,4.016075579941563,4.016075579941563,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=10|seasonality_mode=additive,2,5.830477084642219,5.830477084642219,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,1,4.016075579941563,4.016075579941563,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=20|seasonality_mode=additive,2,5.830477084642219,5.830477084642219,1140
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,1,4.050902926355317,4.050902926355317,1152
changepoint_prior_scale=0.3|changepoint_range=0.95|n_changepoints=5|seasonality_mode=additive,2,5.76672038989269,5.76672038989269,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,1,3.9779731731600894,3.9779731731600894,1152
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=10|seasonality_mode=additive,2,5.760028283751743,5.760028283751743,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,1,3.9779731731600894,3.9779731731600894,1152
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=20|seasonality_mode=additive,2,5.760028283751743,5.760028283751743,1140
changepoint_prior_scale=0.3|changepoint_range=0.9|n_changepoints=5|seasonality_mode=additive,1,4.023709325216976,4.023709325216976,1152
